district,distname,campus,campname,type,alt_ed,charter,county,total,mobility,low_inc,lep,sped,rating,yrs_ir
'057802,PEGASUS SCHOOL OF LIBERAL ARTS AND,'057802001,PEGASUS CHARTER H S,B,Y,Y,DALLAS,653,18.1,87.6,26.6,9.3,Met Alternative Standard,
'057803,UPLIFT EDUCATION,'057803002,UPLIFT EDUCATION-NORTH HILLS PREP,S,N,Y,DALLAS,535,6.2,24.1,5,4.1,Met Standard,
'057803,UPLIFT EDUCATION,'057803003,UPLIFT EDUCATION - UPLIFT GRAND PR,E,N,Y,DALLAS,540,10,73.9,34.4,5.9,Met Standard,
'057803,UPLIFT EDUCATION,'057803004,UPLIFT WILLIAMS PREPARATORY H S,S,N,Y,DALLAS,510,8.5,90.2,38.8,8.2,Met Standard,
'057803,UPLIFT EDUCATION,'057803005,UPLIFT LUNA PREPARATORY H S,S,N,Y,DALLAS,468,6.8,81.6,27.6,9.6,Met Standard,
'057803,UPLIFT EDUCATION,'057803006,UPLIFT HEIGHTS PREPARATORY H S,S,N,Y,DALLAS,487,2.4,85.2,29,7.2,Met Standard,
'057803,UPLIFT EDUCATION,'057803007,UPLIFT HAMPTON PREPARATORY H S,S,N,Y,DALLAS,329,7.6,78.4,12.5,6.4,Met Standard,
'057803,UPLIFT EDUCATION,'057803008,UPLIFT MIGHTY SCHOOL,E,N,Y,DALLAS,516,3.2,86.2,40.9,6.4,Improvement Required,1
'057803,UPLIFT EDUCATION,'057803009,UPLIFT SUMMIT INTERNATIONAL H S,S,N,Y,DALLAS,479,6.2,73.3,12.7,5.2,Met Standard,
'057803,UPLIFT EDUCATION,'057803010,UPLIFT PEAK PREPARATORY H S,S,N,Y,DALLAS,438,5.4,87,33.1,10,Met Standard,
'057803,UPLIFT EDUCATION,'057803011,UPLIFT GRAND SECONDARY,M,N,Y,DALLAS,348,13.5,81.9,38.8,7.5,Met Standard,
'057803,UPLIFT EDUCATION,'057803012,UPLIFT LUNA SECONDARY SCHOOL,M,N,Y,DALLAS,493,4.5,85.8,29.4,6.7,Met Standard,
